dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,activities-activityCalories,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
11/21/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/22/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/23/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/24/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/25/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/26/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/27/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/28/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/29/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/30/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/1/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/2/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/3/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/4/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/5/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/6/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/7/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/8/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/9/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/10/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/11/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/12/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/13/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/14/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/15/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/16/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/17/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/18/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/19/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/20/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/21/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/22/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/23/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/24/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/25/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/26/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/27/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
12/28/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
